HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
	25	55	30	55	0		18
	25	55	30	55	0		18
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	27	50	40	65	0		10
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	30	90	55	5	0		16
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	33	50	25	80	0		17
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	35	60	45	60	0		12
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	38	30	100	50	0		19
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	40	60	30	90	0		6
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	45	130	60	5	0		8
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	50	70	45	90	0		13
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	55	120	80	22	0		23
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	58	100	40	91	0		25
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	60	145	77	15	0		22
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	63	100	40	106	0		27
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	66	80	80	95	0		21
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	70	150	100	20	0		11
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	73	80	80	116	0		26
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
	90	150	77	100	0		24
1	70	120	70	70	0		4
2	1	20	20	20	0		4
1	65	110	70	70	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
2	1	20	40	20	0		4
	1	10	10	1	0		28
	1	10	10	1	0		28
	1	10	10	1	0		28
	1	10	10	1	0		28
	1	10	10	1	0		28
	1	10	10	1	0		28
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	240	80	207	0		29
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		30
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	255	120	20	0		31
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	160	80	207	0		32
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	99	240	80	207	0		33
	100	255	200	255	0	[(,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5)]\n[(,5),(,5),(,5) / (,6),(,5),(,4) / (,7),(,4),(,4) / (,6),(,6),(,3) / (,8),(,2),(,5)]\n[(,2),(,7),(,6) / (,1),(,7),(,7) / (,2),(,8),(,5) / (,1),(,6),(,8) / (,2),(,5),(,8)]\n[(,5),(,5),(,5) / (,4),(,6),(,5) / (,5),(,4),(,6) / (,4),(,4),(,7) / (,4),(,7),(,4)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / ({437},5),(,5),(,5) / (,3),(,6),(,6) / ({437},3),(,6),(,6)]\n[(,5),(,5),(,5) / (,5),(,5),({437},5) / (,5),(,5),({437},5) / (,6),(,6),(,3) / (,6),(,6),({437},3)]\n[(,5),(,5),({437},5) / (,4),(,6),({437},5) / (,3),(,5),({437},7) / (,5),(,3),({437},7) / (,5),(,4),({437},6)]\n[(,5),(,5),({437},5) / (,4),(,6),({437},5) / (,3),(,5),({437},7) / (,5),(,3),({437},7) / (,5),(,4),({437},6)]\n	34
	100	255	200	255	0	[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]	35
	100	255	200	255	0	[(,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6) / (,6),(,6),(,6)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5) / (,5),(,5),(,5)]\n[(,5),(,5),(,5) / (,6),(,5),(,4) / (,7),(,4),(,4) / (,6),(,6),(,3) / (,8),(,2),(,5)]\n[(,2),(,7),(,6) / (,1),(,7),(,7) / (,2),(,8),(,5) / (,1),(,6),(,8) / (,2),(,5),(,8)]\n[(,5),(,5),(,5) / (,4),(,6),(,5) / (,5),(,4),(,6) / (,4),(,4),(,7) / (,4),(,7),(,4)]\n[(,5),(,5),(,5) / (,5),(,5),(,5) / ({437},5),(,5),(,5) / (,3),(,6),(,6) / ({437},3),(,6),(,6)]\n[(,5),(,5),(,5) / (,5),(,5),({437},5) / (,5),(,5),({437},5) / (,6),(,6),(,3) / (,6),(,6),({437},3)]\n[(,5),(,5),({437},5) / (,4),(,6),({437},5) / (,3),(,5),({437},7) / (,5),(,3),({437},7) / (,5),(,4),({437},6)]\n[(,5),(,5),({437},5) / (,4),(,6),({437},5) / (,3),(,5),({437},7) / (,5),(,3),({437},7) / (,5),(,4),({437},6)]\n	36
	100	255	200	255	0		37
	100	255	200	200	0		38
	100	255	200	200	0		39
	100	255	125	30	0	[({458},1)]\n[({458},1)]	42
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	255	95	205	0		41
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	100	170	85	220	0		40
	70	150	70	60	0		43
	100	255	125	30	0	[({460},1) / ({460},2)]\n[({460},1) / ({460},2)]	42
	70	150	70	60	0		44
	9	50	35	20	0	\n[({74},3)/({75},4)/({76},5)]\n	45
2	9	50	35	20	0		46
	5	20	20	11	0		47
2	5	20	20	11	0		48
	45	70	40	100	0		49
	7	40	30	20	0	\n[({38},3)/({39},4)/({40},5)]\n	50
	50	140	70	15	0		51
	32	60	50	75	0	\n[({188},3)/({189},4)/({190},5)]\n	52
	19	50	40	40	0		53
	75	160	110	30	0		54
	55	80	55	100	0		55
	25	80	50	20	0		56
	35	100	65	15	0		57
	28	50	30	75	0		58
	71	90	90	105	0		59
	65	155	87	25	0		60
2	65	155	87	25	0		61
	95	160	87	110	0		62
	68	110	50	116	0		63
	100	250	90	217	0		64
	100	255	130	30	0		65
